indice_tiempo,densidad_arg,densidad_46,densidad_50,densidad_58,densidad_38,densidad_10,densidad_94,densidad_30,densidad_14,densidad_82,densidad_54,densidad_6,densidad_90,densidad_2,densidad_26,densidad_78,densidad_42,densidad_86,densidad_34,densidad_70,densidad_74,densidad_66,densidad_22,densidad_18,densidad_62
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0.16,0.37,0.117,0.59,0.127,0.36,0.01,0.157,0.2,0.24,0.37,0.508,0.643,0.145,0.23,0.11,0.22,0.64,0.74,0.76,0.56,0.78,0.106,0.113,0.31
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0